#Entry	Entry name	Length	Organism
Q9JII9	CXCR3_RAT	367	Rattus norvegicus (Rat)
Q5MD61	CXCR3_BOVIN	366	Bos taurus (Bovine)
Q5KSK8	CXCR3_CANLF	365	Canis lupus familiaris (Dog) (Canis familiaris)
O88410	CXCR3_MOUSE	367	Mus musculus (Mouse)
P15336	ATF2_HUMAN	505	Homo sapiens (Human)
Q00969	ATF2_RAT	487	Rattus norvegicus (Rat)
O93602	ATF2_CHICK	487	Gallus gallus (Chicken)
P16951	ATF2_MOUSE	487	Mus musculus (Mouse)
Q3ZCH6	ATF4_BOVIN	348	Bos taurus (Bovine)
P18848	ATF4_HUMAN	351	Homo sapiens (Human)
Q06507	ATF4_MOUSE	349	Mus musculus (Mouse)
Q9ES19	ATF4_RAT	347	Rattus norvegicus (Rat)
O70191	ATF5_MOUSE	283	Mus musculus (Mouse)
P06493	CDK1_HUMAN	297	Homo sapiens (Human)
Q5RCH1	CDK1_PONAB	297	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
P43063	CDK1_CANAL	317	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
P48734	CDK1_BOVIN	297	Bos taurus (Bovine)
P39951	CDK1_RAT	297	Rattus norvegicus (Rat)
P11440	CDK1_MOUSE	297	Mus musculus (Mouse)
Q9UQ88	CD11A_HUMAN	783	Homo sapiens (Human)
P46892	CD11B_RAT	436	Rattus norvegicus (Rat)
P24788	CD11B_MOUSE	784	Mus musculus (Mouse)
P21127	CD11B_HUMAN	795	Homo sapiens (Human)
Q3V3A1	CDK15_MOUSE	433	Mus musculus (Mouse)
Q96Q40	CDK15_HUMAN	435	Homo sapiens (Human)
Q9BWU1	CDK19_HUMAN	502	Homo sapiens (Human)
P24941	CDK2_HUMAN	298	Homo sapiens (Human)
Q63699	CDK2_RAT	298	Rattus norvegicus (Rat)
Q15078	CD5R1_HUMAN	307	Homo sapiens (Human)
P51952	CDK7_RAT	329	Rattus norvegicus (Rat)
Q03147	CDK7_MOUSE	346	Mus musculus (Mouse)
P50613	CDK7_HUMAN	346	Homo sapiens (Human)
P38936	CDN1A_HUMAN	164	Homo sapiens (Human)
P61024	CKS1_HUMAN	79	Homo sapiens (Human)
Q00535	CDK5_HUMAN	292	Homo sapiens (Human)
Q02399	CDK5_BOVIN	292	Bos taurus (Bovine)
Q03114	CDK5_RAT	292	Rattus norvegicus (Rat)
P49615	CDK5_MOUSE	292	Mus musculus (Mouse)
Q96S94	CCNL2_HUMAN	520	Homo sapiens (Human)
Q9JJA7	CCNL2_MOUSE	518	Mus musculus (Mouse)
Q5I0H5	CCNL2_RAT	520	Rattus norvegicus (Rat)
P0C242	CCNO_MOUSE	352	Mus musculus (Mouse)
Q9VCC0	CHRD1_DROME	354	Drosophila melanogaster (Fruit fly)
Q9D1P4	CHRD1_MOUSE	331	Mus musculus (Mouse)
Q684M2	ATG4D_PIG	469	Sus scrofa (Pig)
Q8BGV9	ATG4D_MOUSE	474	Mus musculus (Mouse)
Q86TL0	ATG4D_HUMAN	474	Homo sapiens (Human)
Q8CID0	CSR2B_MOUSE	779	Mus musculus (Mouse)
Q96S65	CSRN1_HUMAN	589	Homo sapiens (Human)
P59054	CSRN1_MOUSE	583	Mus musculus (Mouse)
Q5R638	CSRN1_PONAB	593	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q8BGQ2	CSRN2_MOUSE	534	Mus musculus (Mouse)
Q9H175	CSRN2_HUMAN	543	Homo sapiens (Human)
P59055	CSRN3_MOUSE	597	Mus musculus (Mouse)
Q8WYN3	CSRN3_HUMAN	585	Homo sapiens (Human)
P99999	CYC_HUMAN	105	Homo sapiens (Human)
P00012	CYC_MIRLE	105	Mirounga leonina (Southern elephant seal)
P62896	CYC_SHEEP	105	Ovis aries (Sheep)
P00013	CYC_MINSC	105	Miniopterus schreibersii (Schreibers's long-fingered bat)
P99998	CYC_PANTR	105	Pan troglodytes (Chimpanzee)
P62894	CYC_BOVIN	105	Bos taurus (Bovine)
P68097	CYC_EQUAS	105	Equus asinus (Donkey) (Equus africanus asinus)
Q52V10	CYC_SAISC	105	Saimiri sciureus (Common squirrel monkey)
Q52V09	CYC_TARBA	105	Tarsius bancanus (Western tarsier) (Horsfield's tarsier)
Q7YR71	CYC_TRACR	105	Trachypithecus cristatus (Silvered leaf-monkey) (Presbytis cristata)
P68099	CYC_CAMDR	105	Camelus dromedarius (Dromedary) (Arabian camel)
P68100	CYC_ESCRO	105	Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus)
Q52V08	CYC_MACSY	105	Macaca sylvanus (Barbary macaque)
P62895	CYC_PIG	105	Sus scrofa (Pig)
P00008	CYC_RABIT	105	Oryctolagus cuniculus (Rabbit)
P00007	CYC_HIPAM	105	Hippopotamus amphibius (Hippopotamus)
P00004	CYC_HORSE	105	Equus caballus (Horse)
P00011	CYC_CANLF	105	Canis lupus familiaris (Dog) (Canis familiaris)
P68096	CYC_EQUBU	105	Equus burchelli (Plains zebra) (Equus quagga)
P00003	CYC_ATESP	105	Ateles sp. (Spider monkey)
Q6WUX8	CYC_GORGO	105	Gorilla gorilla gorilla (Western lowland gorilla)
P68098	CYC_LAMGU	105	Lama guanicoe (Guanaco)
P00014	CYC_MACGI	105	Macropus giganteus (Eastern gray kangaroo)
P00002	CYC_MACMU	105	Macaca mulatta (Rhesus macaque)
B4USV4	CYC_OTOGA	105	Otolemur garnettii (Small-eared galago) (Garnett's greater bushbaby)
Q5RFH4	CYC_PONAB	105	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q3SZT9	CYC2_BOVIN	105	Bos taurus (Bovine)
P62898	CYC_RAT	105	Rattus norvegicus (Rat)
P62897	CYC_MOUSE	105	Mus musculus (Mouse)
P10715	CYC2_RAT	105	Rattus norvegicus (Rat)
P00015	CYC2_MOUSE	105	Mus musculus (Mouse)
P32927	IL3RB_HUMAN	897	Homo sapiens (Human)
P26955	IL3RB_MOUSE	896	Mus musculus (Mouse)
Q5R414	CYFP2_PONAB	1253	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q5SQX6	CYFP2_MOUSE	1253	Mus musculus (Mouse)
Q96F07	CYFP2_HUMAN	1278	Homo sapiens (Human)
Q6GQD1	CYFP2_XENLA	1253	Xenopus laevis (African clawed frog)
P97504	BMX_MOUSE	651	Mus musculus (Mouse)
P51813	BMX_HUMAN	675	Homo sapiens (Human)
A5D7U0	CKAP2_BOVIN	625	Bos taurus (Bovine)
Q5R7F8	CKAP2_PONAB	682	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q3V1H1	CKAP2_MOUSE	664	Mus musculus (Mouse)
Q8WWK9	CKAP2_HUMAN	683	Homo sapiens (Human)
Q96KP4	CNDP2_HUMAN	475	Homo sapiens (Human)
P47712	PA24A_HUMAN	749	Homo sapiens (Human)
P0CH80	3SA1_NAJKA	60	Naja kaouthia (Monocled cobra) (Naja siamensis)
P0C5H4	3SA1_DABRR	20	Daboia russelii (Russel's viper) (Vipera russelii)
Q80WW9	DDRGK_MOUSE	315	Mus musculus (Mouse)
Q5JK84	RH15_ORYSJ	432	Oryza sativa subsp. japonica (Rice)
Q0JM17	RH56_ORYSJ	432	Oryza sativa subsp. japonica (Rice)
Q5TJE1	DAXX_CANLF	737	Canis lupus familiaris (Dog) (Canis familiaris)
O35613	DAXX_MOUSE	739	Mus musculus (Mouse)
O18805	DAXX_CHLAE	736	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
Q9UER7	DAXX_HUMAN	740	Homo sapiens (Human)
Q8VIB2	DAXX_RAT	731	Rattus norvegicus (Rat)
Q8K5A9	NRADD_RAT	228	Rattus norvegicus (Rat)
Q8CJ26	NRADD_MOUSE	228	Mus musculus (Mouse)
O88843	CRADD_MOUSE	199	Mus musculus (Mouse)
P78560	CRADD_HUMAN	199	Homo sapiens (Human)
Q5R6I4	CRADD_PONAB	199	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q9Z1L3	DEDD_MOUSE	318	Mus musculus (Mouse)
Q9Z2K0	DEDD_RAT	318	Rattus norvegicus (Rat)
O75618	DEDD_HUMAN	318	Homo sapiens (Human)
Q14154	DELE_HUMAN	515	Homo sapiens (Human)
P60924	DELE_RAT	509	Rattus norvegicus (Rat)
Q9DCV6	DELE_MOUSE	510	Mus musculus (Mouse)
Q24306	DIAP1_DROME	438	Drosophila melanogaster (Fruit fly)
Q24307	DIAP2_DROME	498	Drosophila melanogaster (Fruit fly)
Q9QX67	DAP1_RAT	102	Rattus norvegicus (Rat)
P51397	DAP1_HUMAN	102	Homo sapiens (Human)
Q5EAE6	DAP1_BOVIN	102	Bos taurus (Bovine)
Q91XC8	DAP1_MOUSE	102	Mus musculus (Mouse)
P53355	DAPK1_HUMAN	1430	Homo sapiens (Human)
Q80YE7	DAPK1_MOUSE	1442	Mus musculus (Mouse)
Q9UIK4	DAPK2_HUMAN	370	Homo sapiens (Human)
Q8VDF3	DAPK2_MOUSE	370	Mus musculus (Mouse)
O43293	DAPK3_HUMAN	454	Homo sapiens (Human)
O88764	DAPK3_RAT	448	Rattus norvegicus (Rat)
O54784	DAPK3_MOUSE	448	Mus musculus (Mouse)
A0PJW8	DAPL1_HUMAN	107	Homo sapiens (Human)
A2VEA7	DAPL1_BOVIN	107	Bos taurus (Bovine)
Q9D757	DAPL1_MOUSE	107	Mus musculus (Mouse)
Q9BTC0	DIDO1_HUMAN	2240	Homo sapiens (Human)
Q8C9B9	DIDO1_MOUSE	2256	Mus musculus (Mouse)
Q14185	DOCK1_HUMAN	1865	Homo sapiens (Human)
Q8BUR4	DOCK1_MOUSE	1865	Mus musculus (Mouse)
S0DRW9	FUB6_GIBF5	337	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)
A0A0D2YG03	FUB6_FUSO4	357	Fusarium oxysporum f. sp. lycopersici (strain 4287 / CBS 123668 / FGSC 9935 / NRRL 34936) (Fusarium vascular wilt of tomato)
W7NCN7	FUB6_GIBM7	357	Gibberella moniliformis (strain M3125 / FGSC 7600) (Maize ear and stalk rot fungus) (Fusarium verticillioides)
Q15392	DHC24_HUMAN	516	Homo sapiens (Human)
Q80TS7	DEND_MOUSE	710	Mus musculus (Mouse)
O94850	DEND_HUMAN	711	Homo sapiens (Human)
P50617	DEND_RAT	707	Rattus norvegicus (Rat)
Q5RHI5	DTL_DANRE	647	Danio rerio (Zebrafish) (Brachydanio rerio)
O89107	DNSL3_RAT	310	Rattus norvegicus (Rat)
O55070	DNSL3_MOUSE	310	Mus musculus (Mouse)
Q13609	DNSL3_HUMAN	305	Homo sapiens (Human)
P34220	YBF5_YEAST	418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q9UUF1	YNF8_SCHPO	312	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
P11937	DNAS1_SHEEP	260	Ovis aries (Sheep)
P11936	DNAS1_PIG	284	Sus scrofa (Pig)
Q4AEE3	DNAS1_HORSE	282	Equus caballus (Horse)
P49183	DNAS1_MOUSE	284	Mus musculus (Mouse)
Q767J3	DNAS1_CANLF	284	Canis lupus familiaris (Dog) (Canis familiaris)
O42446	DNAS1_OREMO	284	Oreochromis mossambicus (Mozambique tilapia) (Tilapia mossambica)
O18998	DNAS1_RABIT	281	Oryctolagus cuniculus (Rabbit)
Q9YGI5	DNAS1_CHICK	282	Gallus gallus (Chicken)
P24855	DNAS1_HUMAN	282	Homo sapiens (Human)
P00639	DNAS1_BOVIN	282	Bos taurus (Bovine)
P21704	DNAS1_RAT	284	Rattus norvegicus (Rat)
Q17778	NUC1_CAEEL	375	Caenorhabditis elegans
O62855	DNS2A_PIG	364	Sus scrofa (Pig)
Q9QZK8	DNS2A_RAT	350	Rattus norvegicus (Rat)
O00115	DNS2A_HUMAN	360	Homo sapiens (Human)
P56541	DNS2A_BOVIN	365	Bos taurus (Bovine)
P56542	DNS2A_MOUSE	353	Mus musculus (Mouse)
Q5TB30	DEP1A_HUMAN	811	Homo sapiens (Human)
Q8CIG0	DEP1A_MOUSE	804	Mus musculus (Mouse)
Q9BSY9	DESI2_HUMAN	194	Homo sapiens (Human)
Q5RBH2	DBLOH_PONAB	239	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q0IJ31	DBLOH_XENTR	244	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
A4GZV0	DBLOH_XENLA	244	Xenopus laevis (African clawed frog)
Q9NR28	DBLOH_HUMAN	239	Homo sapiens (Human)
Q9JIQ3	DBLOH_MOUSE	237	Mus musculus (Mouse)
O74850	DGAT2_SCHPO	345	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
Q3T7C9	DPH1_LITVA	423	Litopenaeus vannamei (Whiteleg shrimp) (Penaeus vannamei)
P98082	DAB2_HUMAN	770	Homo sapiens (Human)
O88797	DAB2_RAT	768	Rattus norvegicus (Rat)
P98078	DAB2_MOUSE	766	Mus musculus (Mouse)
Q5VWQ8	DAB2P_HUMAN	1189	Homo sapiens (Human)
Q3UHC7	DAB2P_MOUSE	1189	Mus musculus (Mouse)
Q6P730	DAB2P_RAT	996	Rattus norvegicus (Rat)
P0DM77	VM2_DEIAC	48	Deinagkistrodon acutus (Hundred-pace snake) (Agkistrodon acutus)
Q0NZX5	VM2JA_BOTJA	88	Bothrops jararaca (Jararaca) (Bothrops jajaraca)
H9M5U4	VM2_CRORU	61	Crotalus ruber ruber (Red diamond rattlesnake)
Q99J79	DDB2_MOUSE	432	Mus musculus (Mouse)
Q8IXT1	DDIAS_HUMAN	998	Homo sapiens (Human)
Q6NZG4	DDIAS_MOUSE	898	Mus musculus (Mouse)
P14607	DDIT3_CRIGR	168	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
P35638	DDIT3_HUMAN	169	Homo sapiens (Human)
Q0IIB6	DDIT3_BOVIN	168	Bos taurus (Bovine)
P35639	DDIT3_MOUSE	168	Mus musculus (Mouse)
Q62857	DDIT3_RAT	168	Rattus norvegicus (Rat)
Q6P4J6	DDIT4_XENTR	219	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q08E62	DDIT4_BOVIN	229	Bos taurus (Bovine)
Q8VHZ9	DDIT4_RAT	229	Rattus norvegicus (Rat)
Q7SYV9	DDIT4_XENLA	219	Xenopus laevis (African clawed frog)
Q7T346	DDIT4_DANRE	220	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9NX09	DDIT4_HUMAN	232	Homo sapiens (Human)
Q9D3F7	DDIT4_MOUSE	229	Mus musculus (Mouse)
Q8VHZ5	DDT4L_MOUSE	193	Mus musculus (Mouse)
Q5EAK8	DRAM1_XENTR	239	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q6NRS6	DRAM1_XENLA	239	Xenopus laevis (African clawed frog)
Q8N682	DRAM1_HUMAN	238	Homo sapiens (Human)
Q9DC58	DRAM1_MOUSE	238	Mus musculus (Mouse)
Q6UX65	DRAM2_HUMAN	266	Homo sapiens (Human)
Q9CR48	DRAM2_MOUSE	267	Mus musculus (Mouse)
Q3ZC48	DRAM2_BOVIN	266	Bos taurus (Bovine)
Q5BK09	DRAM2_RAT	267	Rattus norvegicus (Rat)
O00273	DFFA_HUMAN	331	Homo sapiens (Human)
O54786	DFFA_MOUSE	331	Mus musculus (Mouse)
O54788	DFFB_MOUSE	344	Mus musculus (Mouse)
Q58CZ0	DFFB_BOVIN	341	Bos taurus (Bovine)
O76075	DFFB_HUMAN	338	Homo sapiens (Human)
Q99N34	DFFB_RAT	349	Rattus norvegicus (Rat)
Q9JI44	DMAP1_MOUSE	468	Mus musculus (Mouse)
Q9NPF5	DMAP1_HUMAN	467	Homo sapiens (Human)
P97679	MLH1_RAT	757	Rattus norvegicus (Rat)
P40692	MLH1_HUMAN	756	Homo sapiens (Human)
Q9JK91	MLH1_MOUSE	760	Mus musculus (Mouse)
Q5XXB5	MSH2_CHLAE	933	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
P43247	MSH2_MOUSE	935	Mus musculus (Mouse)
P54275	MSH2_RAT	933	Rattus norvegicus (Rat)
Q3MHE4	MSH2_BOVIN	934	Bos taurus (Bovine)
P43246	MSH2_HUMAN	934	Homo sapiens (Human)
Q779J8	DPOL_SFAVA	1104	Spodoptera frugiperda ascovirus 1a (SfAV-1a)
Q9W252	RAD50_DROME	1318	Drosophila melanogaster (Fruit fly)
P49736	MCM2_HUMAN	904	Homo sapiens (Human)
P97310	MCM2_MOUSE	904	Mus musculus (Mouse)
Q6ZQF0	TOPB1_MOUSE	1515	Mus musculus (Mouse)
Q92547	TOPB1_HUMAN	1522	Homo sapiens (Human)
Q8QZV0	DEDD2_MOUSE	330	Mus musculus (Mouse)
Q8WXF8	DEDD2_HUMAN	326	Homo sapiens (Human)
Q03267	IKZF1_MOUSE	517	Mus musculus (Mouse)
Q13422	IKZF1_HUMAN	519	Homo sapiens (Human)
P41134	ID1_HUMAN	155	Homo sapiens (Human)
P41135	ID1_RAT	164	Rattus norvegicus (Rat)
P20067	ID1_MOUSE	168	Mus musculus (Mouse)
Q02363	ID2_HUMAN	134	Homo sapiens (Human)
Q4R5J7	ID2_MACFA	134	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
P41136	ID2_MOUSE	134	Mus musculus (Mouse)
Q3ZC46	ID2_BOVIN	134	Bos taurus (Bovine)
Q2VIU1	ID2_PIG	134	Sus scrofa (Pig)
P41137	ID2_RAT	134	Rattus norvegicus (Rat)
Q5RCH7	ID2_PONAB	134	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q5E981	ID3_BOVIN	119	Bos taurus (Bovine)
P41133	ID3_MOUSE	119	Mus musculus (Mouse)
P41138	ID3_RAT	119	Rattus norvegicus (Rat)
Q712G9	ID3_CANLF	119	Canis lupus familiaris (Dog) (Canis familiaris)
Q02535	ID3_HUMAN	119	Homo sapiens (Human)
Q06AV5	ID4_PIG	161	Sus scrofa (Pig)
P47928	ID4_HUMAN	161	Homo sapiens (Human)
P41139	ID4_MOUSE	161	Mus musculus (Mouse)
Q01826	SATB1_HUMAN	763	Homo sapiens (Human)
Q60611	SATB1_MOUSE	764	Mus musculus (Mouse)
P78527	PRKDC_HUMAN	4128	Homo sapiens (Human)
P24928	RPB1_HUMAN	1970	Homo sapiens (Human)
Q95JF4	DNAJ1_CHLAE	397	Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops)
P63036	DNJA1_RAT	397	Rattus norvegicus (Rat)
Q5E954	DNJA1_BOVIN	397	Bos taurus (Bovine)
P31689	DNJA1_HUMAN	397	Homo sapiens (Human)
Q5NVI9	DNJA1_PONAB	396	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
P63037	DNJA1_MOUSE	397	Mus musculus (Mouse)
Q54ED3	DNJA1_DICDI	459	Dictyostelium discoideum (Slime mold)
Q99M87	DNJA3_MOUSE	480	Mus musculus (Mouse)
Q96EY1	DNJA3_HUMAN	480	Homo sapiens (Human)
Q80Y75	DJB13_MOUSE	316	Mus musculus (Mouse)
P59910	DJB13_HUMAN	316	Homo sapiens (Human)
Q8IXB1	DJC10_HUMAN	793	Homo sapiens (Human)
Q9M3T9	DAD1_BETPN	115	Betula pendula (European white birch) (Betula verrucosa)
Q5E9C2	DAD1_BOVIN	113	Bos taurus (Bovine)
O13113	DAD1_CHICK	123	Gallus gallus (Chicken)
O24060	DAD1_MALDO	119	Malus domestica (Apple) (Pyrus malus)
Q0JDK9	DAD1_ORYSJ	114	Oryza sativa subsp. japonica (Rice)
Q9SMC4	DAD1_SOLLC	116	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
P61803	DAD1_HUMAN	113	Homo sapiens (Human)
P61804	DAD1_MOUSE	113	Mus musculus (Mouse)
Q29036	DAD1_PIG	113	Sus scrofa (Pig)
P52872	DAD1_CAEEL	113	Caenorhabditis elegans
Q9ZWQ7	DAD1_CITUN	115	Citrus unshiu (Satsuma mandarin) (Citrus nobilis var. unshiu)
Q9VLM5	DAD1_DROME	112	Drosophila melanogaster (Fruit fly)
P61806	DAD1_MESAU	113	Mesocricetus auratus (Golden hamster)
A2XSY1	DAD1_ORYSI	114	Oryza sativa subsp. indica (Rice)
Q39080	DAD1_ARATH	115	Arabidopsis thaliana (Mouse-ear cress)
Q9SME9	DAD1_HORVU	114	Hordeum vulgare (Barley)
O65085	DAD1_PICMA	115	Picea mariana (Black spruce) (Abies mariana)
Q5RBB4	DAD1_PONAB	113	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
P61805	DAD1_RAT	113	Rattus norvegicus (Rat)
P46967	DAD1_XENLA	113	Xenopus laevis (African clawed frog)
Q8I7Z2	DAD1_ARAVE	113	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)
O81214	DAD1_MAIZE	79	Zea mays (Maize)
Q9ZRA3	DAD1_PEA	117	Pisum sativum (Garden pea)
O22622	DAD2_ARATH	115	Arabidopsis thaliana (Mouse-ear cress)
Q9SME8	DAD2_HORVU	114	Hordeum vulgare (Barley)
P98149	DIF_DROME	667	Drosophila melanogaster (Fruit fly)
Q3SWX9	RAD21_BOVIN	630	Bos taurus (Bovine)
O93310	RAD21_XENLA	629	Xenopus laevis (African clawed frog)
O60216	RAD21_HUMAN	631	Homo sapiens (Human)
Q61550	RAD21_MOUSE	635	Mus musculus (Mouse)
Q99MU3	DSRAD_MOUSE	1178	Mus musculus (Mouse)
P55265	DSRAD_HUMAN	1226	Homo sapiens (Human)
Q9UJU6	DBNL_HUMAN	430	Homo sapiens (Human)
Q6XUX2	DUSTY_RAT	927	Rattus norvegicus (Rat)
Q4VSN2	DUSTY_TAKRU	921	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)
Q4TVR5	DUSTY_BOVIN	928	Bos taurus (Bovine)
Q4VSN1	DUSTY_DANRE	885	Danio rerio (Zebrafish) (Brachydanio rerio)
Q6XUX1	DUSTY_MOUSE	927	Mus musculus (Mouse)
Q67E01	DUSTY_XENLA	916	Xenopus laevis (African clawed frog)
Q4VSN5	DUSTY_PANTR	930	Pan troglodytes (Chimpanzee)
Q4VSN4	DUSTY_CANLF	931	Canis lupus familiaris (Dog) (Canis familiaris)
Q20CR4	DUSTY_MACMU	907	Macaca mulatta (Rhesus macaque)
A2CI34	DUSTY_PIMPR	903	Pimephales promelas (Fathead minnow)
A2CI35	DUSTY_STRPU	953	Strongylocentrotus purpuratus (Purple sea urchin)
Q4VSN3	DUSTY_TETNG	922	Tetraodon nigroviridis (Spotted green pufferfish) (Chelonodon nigroviridis)
Q6XUX0	DUSTY_CHICK	930	Gallus gallus (Chicken)
Q6XUX3	DUSTY_HUMAN	929	Homo sapiens (Human)
Q67E00	DUSTY_XENTR	918	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)
Q01986	MP2K1_RAT	393	Rattus norvegicus (Rat)
Q63980	MP2K1_CRIGR	393	Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus)
Q9XT09	MP2K1_PANTR	393	Pan troglodytes (Chimpanzee)
Q02750	MP2K1_HUMAN	393	Homo sapiens (Human)
P29678	MP2K1_RABIT	393	Oryctolagus cuniculus (Rabbit)
P31938	MP2K1_MOUSE	393	Mus musculus (Mouse)
P45985	MP2K4_HUMAN	399	Homo sapiens (Human)
P47809	MP2K4_MOUSE	397	Mus musculus (Mouse)
Q9WVS7	MP2K5_MOUSE	448	Mus musculus (Mouse)
Q13163	MP2K5_HUMAN	448	Homo sapiens (Human)
Q62862	MP2K5_RAT	448	Rattus norvegicus (Rat)
P52564	MP2K6_HUMAN	334	Homo sapiens (Human)
Q5E9X2	MP2K6_BOVIN	334	Bos taurus (Bovine)
P70236	MP2K6_MOUSE	334	Mus musculus (Mouse)
Q4KSH7	MP2K7_RAT	419	Rattus norvegicus (Rat)
O14733	MP2K7_HUMAN	419	Homo sapiens (Human)
Q8CE90	MP2K7_MOUSE	535	Mus musculus (Mouse)
G5EDT6	JKK1_CAEEL	435	Caenorhabditis elegans
Q21307	MEK1_CAEEL	347	Caenorhabditis elegans
Q10664	MEK2_CAEEL	387	Caenorhabditis elegans
G5EDF7	SEK1_CAEEL	336	Caenorhabditis elegans
Q6B8I0	DS13A_MOUSE	188	Mus musculus (Mouse)
Q6B8I1	DS13A_HUMAN	188	Homo sapiens (Human)
Q9NRW4	DUS22_HUMAN	184	Homo sapiens (Human)
Q9BV47	DUS26_HUMAN	211	Homo sapiens (Human)
Q5U4C9	DYRK2_MOUSE	599	Mus musculus (Mouse)
Q5ZIU3	DYRK2_CHICK	526	Gallus gallus (Chicken)
Q92630	DYRK2_HUMAN	601	Homo sapiens (Human)
Q14203	DCTN1_HUMAN	1278	Homo sapiens (Human)
Q13561	DCTN2_HUMAN	401	Homo sapiens (Human)
Q8N1N2	DYNAP_HUMAN	210	Homo sapiens (Human)
O35303	DNM1L_RAT	755	Rattus norvegicus (Rat)
Q8K1M6	DNM1L_MOUSE	742	Mus musculus (Mouse)
Q2KIA5	DNM1L_BOVIN	749	Bos taurus (Bovine)
O00429	DNM1L_HUMAN	736	Homo sapiens (Human)
Q9SE83	DRP2A_ARATH	914	Arabidopsis thaliana (Mouse-ear cress)
Q9LQ55	DRP2B_ARATH	920	Arabidopsis thaliana (Mouse-ear cress)
Q5F499	OPA1_CHICK	977	Gallus gallus (Chicken)
P58281	OPA1_MOUSE	960	Mus musculus (Mouse)
O93248	OPA1_ONCMA	971	Oncorhynchus masou (Cherry salmon) (Masu salmon)
Q5U3A7	OPA1_DANRE	966	Danio rerio (Zebrafish) (Brachydanio rerio)
O60313	OPA1_HUMAN	960	Homo sapiens (Human)
Q5RAM3	OPA1_PONAB	960	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)
Q2TA68	OPA1_RAT	960	Rattus norvegicus (Rat)
P32266	MGM1_YEAST	881	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
Q55F94	DLPA_DICDI	880	Dictyostelium discoideum (Slime mold)
Q54MH8	DLPB_DICDI	808	Dictyostelium discoideum (Slime mold)
Q55AX0	DLPC_DICDI	904	Dictyostelium discoideum (Slime mold)
P63167	DYL1_HUMAN	89	Homo sapiens (Human)
P61273	DYL1_MACFA	89	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)
P63170	DYL1_RAT	89	Rattus norvegicus (Rat)
P63168	DYL1_MOUSE	89	Mus musculus (Mouse)
P61285	DYL1_BOVIN	89	Bos taurus (Bovine)
P63169	DYL1_RABIT	89	Oryctolagus cuniculus (Rabbit)
Q9BQY9	DBND2_HUMAN	259	Homo sapiens (Human)
P03245	E1B55_ADE07	492	Human adenovirus B serotype 7 (HAdV-7) (Human adenovirus 7)
P03244	E1B55_ADE02	495	Human adenovirus C serotype 2 (HAdV-2) (Human adenovirus 2)
P03243	E1B55_ADE05	496	Human adenovirus C serotype 5 (HAdV-5) (Human adenovirus 5)
P10545	E1B55_ADE40	476	Human adenovirus F serotype 40 (HAdV-40) (Human adenovirus 40)
Q96679	E1B55_ADECR	444	Canine adenovirus serotype 1 (strain RI261) (CAdV-1) (Canine adenovirus 1 (strain RI261))
P04885	E1B55_ADET1	391	Tree shrew adenovirus serotype 1 (TSAdV-1) (Tupaia adenovirus 1)
P04491	E1B55_ADE12	482	Human adenovirus A serotype 12 (HAdV-12) (Human adenovirus 12)
P12536	E1B55_ADEM1	433	Murine adenovirus A serotype 1 (MAdV-1) (Murine adenovirus 1)
